source_id,title,url,publisher,publication_date,source_type,accessed_at,credibility_notes,relevance_notes
S-001,Google OR-Tools — CP-SAT Solver (official documentation),https://developers.google.com/optimization/cp/cp_solver,Google,,industry,2026-01-01T00:00:00+00:00,Authoritative for solver capabilities; not a comparative benchmark source.,Establishes the incumbent exact-solver baseline.
S-002,"A Survey of Automated Timetabling (Schaerf, 1999)",,Artificial Intelligence Review,,peer_reviewed,2026-01-01T00:00:00+00:00,Classic peer-reviewed survey; dated but foundational.,Frames timetabling as NP-hard with established solution methods.
S-003,"A Survey of Metaheuristic-based Techniques for University Course Timetabling (Lewis, 2008)",,OR Spectrum,,peer_reviewed,2026-01-01T00:00:00+00:00,Peer-reviewed survey of metaheuristic methods.,Documents decades of non-exact methods and their niche outcomes.
S-004,"Machine Learning for Combinatorial Optimization: a Methodological Tour d'Horizon (Bengio, Lodi & Prouvost, 2021)",https://arxiv.org/abs/1811.06128,European Journal of Operational Research,,peer_reviewed,2026-01-01T00:00:00+00:00,Highly-cited peer-reviewed methodological survey.,Maps where ML (incl. RL) plausibly augments OR.
S-005,"Reinforcement Learning for Combinatorial Optimization: A Survey (Mazyavkina et al., 2021)",https://arxiv.org/abs/2003.03600,Computers & Operations Research,,peer_reviewed,2026-01-01T00:00:00+00:00,Peer-reviewed survey of RL-for-CO; notes benchmarking inconsistencies.,Primary evidence on RL-CO strengths and limits.
S-006,International Timetabling Competition 2007 (ITC2007) — curriculum-based course timetabling track,,PATAT / EURO,,standards,2026-01-01T00:00:00+00:00,Widely-used community benchmark; defines standard instances.,The natural benchmark any RL-vs-solver comparison should use.
S-007,"Bridging the Gap Between Theory and Practice in University Timetabling (McCollum, 2007)",,PATAT 2007 (LNCS),,peer_reviewed,2026-01-01T00:00:00+00:00,Peer-reviewed perspective on research-to-deployment gaps.,Explains why strong methods often fail to deploy.
S-008,"Neural Combinatorial Optimization with Reinforcement Learning (Bello et al., 2016)",https://arxiv.org/abs/1611.09940,arXiv preprint,,other,2026-01-01T00:00:00+00:00,Foundational preprint; not domain-specific; lower evidentiary weight here.,Origin of much RL-CO enthusiasm.
S-009,"Attention, Learn to Solve Routing Problems! (Kool, van Hoof & Welling, 2019)",https://arxiv.org/abs/1803.08475,ICLR 2019,,peer_reviewed,2026-01-01T00:00:00+00:00,"Peer-reviewed; results are on routing, not timetabling.",Evidence on RL generalization limits across instance distributions.
S-010,Illustrative vendor blog post on 'AI-driven scheduling' (SYNTHETIC example),,,,blog,2026-01-01T00:00:00+00:00,"SYNTHETIC, low-credibility anecdote included to exercise the review stage; not a real citation.",Stands in for marketing claims the skeptic perspective must discount.
