source_id,title,authors,year,venue,publisher,source_type,url,doi,arxiv_id,publication_status,full_text_status,source_class,credibility_notes,relevance_notes
S-001,Robots and Jobs: Evidence from US Labor Markets,Daron Acemoglu; Pascual Restrepo,2020,Journal of Political Economy,University of Chicago Press,peer_reviewed,https://shapingwork.mit.edu/wp-content/uploads/2023/10/Robots-and-Jobs-Evidence-from-US-Labor-Markets.p.pdf,10.1086/705716,,PUBLISHED_VERIFIED,full_text,peer_reviewed,Peer-reviewed labor-economics article; accessible PDF retrieved in this run and DOI metadata checked by source landing pages.,"Primary empirical evidence on industrial robot exposure, employment, and wages in US commuting zones."
S-002,Automation and New Tasks: How Technology Displaces and Reinstates Labor,Daron Acemoglu; Pascual Restrepo,2019,Journal of Economic Perspectives,American Economic Association,peer_reviewed,https://www.aeaweb.org/articles?id=10.1257/jep.33.2.3,10.1257/jep.33.2.3,,PUBLISHED_VERIFIED,abstract_only,peer_reviewed,Peer-reviewed JEP article; publisher landing page retrieved but PDF access was bot-challenged in this run.,"Task-based framing for displacement, reinstatement, productivity, and labor-demand effects."
S-003,Gen-AI: Artificial Intelligence and the Future of Work,Mauro Cazzaniga; Florence Jaumotte; Longji Li; Giovanni Melina; Augustus J. Panton; Carlo Pizzinelli; Emma J. Rockall; Marina M. Tavares,2024,IMF Staff Discussion Note,International Monetary Fund,institutional_report,https://www.imf.org/-/media/Files/Publications/SDN/2024/English/SDNEA2024001.ashx,10.5089/9798400262548.006,,PUBLISHED_VERIFIED,full_text,official,IMF Staff Discussion Note PDF retrieved in this run.,Exposure estimates and policy framing for AI effects across advanced and emerging economies.
S-004,Generative AI and Jobs: A Global Analysis of Potential Effects on Job Quantity and Quality,Pawel Gmyrek; Janine Berg; David Bescond,2023,ILO Working Paper 96,International Labour Organization,institutional_report,https://www.ilo.org/publications/generative-ai-and-jobs-global-analysis-potential-effects-job-quantity-and,,,PUBLISHED_VERIFIED,full_text,official,ILO publication page retrieved in this run; full report available from the official source.,Global task exposure analysis distinguishing augmentation potential from automation potential.
S-005,OECD Employment Outlook 2023: Artificial Intelligence and the Labour Market,OECD,2023,OECD Employment Outlook 2023,Organisation for Economic Co-operation and Development,institutional_report,https://www.oecd.org/en/publications/oecd-employment-outlook-2023_08785bba-en/full-report/artificial-intelligence-and-jobs-no-signs-of-slowing-labour-demand-yet_5aebe670.html,10.1787/08785bba-en,,PUBLISHED_VERIFIED,full_text,official,Official OECD report chapter retrieved in this run.,"Labor-market evidence and uncertainty around AI adoption, job quality, and worker voice."
S-006,Broadening the Gains from Generative AI: The Role of Fiscal Policies,Era Dabla-Norris; Ruud De Mooij; Andrew Hodge; Federico Grinberg; Rui Mano; Tidiane Kinda; Anh D.M. Nguyen; Olaf Unteroberdoerster,2024,IMF Staff Discussion Note,International Monetary Fund,institutional_report,https://www.imf.org/-/media/Files/Publications/SDN/2024/English/SDNEA2024002.ashx,10.5089/9798400277177.006,,PUBLISHED_VERIFIED,full_text,official,IMF fiscal-policy note PDF retrieved in this run.,"Direct policy guidance on AI taxes, social protection, education, and tax-system neutrality."
S-007,Does the U.S. Tax Code Favor Automation?,Daron Acemoglu; Andrea Manera; Pascual Restrepo,2020,NBER Working Paper 27052 / Brookings Papers discussion,National Bureau of Economic Research,working_paper,https://www.nber.org/papers/w27052,10.3386/w27052,,WORKING_PAPER_VERIFIED,abstract_only,preprint,"NBER page retrieved in this run; used for scoped model and policy claims, not publication-identity proof beyond the working-paper record.",Analyzes labor-capital tax asymmetry and automation incentives.
S-008,Should Robots Be Taxed?,Joao Guerreiro; Sergio Rebelo; Pedro Teles,2022,The Review of Economic Studies,Oxford University Press,peer_reviewed,https://academic.oup.com/restud/article/89/1/279/6195270,10.1093/restud/rdab019,,PUBLISHED_VERIFIED,abstract_only,peer_reviewed,Publisher page was bot-challenged for full text; DOI and abstract-level metadata were available through search and landing pages.,Formal model of robot taxation and transition dynamics for routine workers.
S-009,The Work of the Future: Building Better Jobs in an Age of Intelligent Machines,MIT Task Force on the Work of the Future,2020,Final Report,Massachusetts Institute of Technology,institutional_report,https://ipc.mit.edu/research/work-of-the-future/,,,PUBLISHED_VERIFIED,full_text,official,Official MIT report page retrieved in this run.,"Historical and policy context on technology, new work, and institutions."
S-010,Evaluating the Impact of AI on the Labor Market: Current State of Affairs,The Budget Lab at Yale,2025,Budget Lab Research,Yale University,institutional_report,https://budgetlab.yale.edu/research/evaluating-impact-ai-labor-market-current-state-affairs,,,PUBLISHED_VERIFIED,full_text,official,Yale Budget Lab research page retrieved in this run.,Near-term tracking of observed labor-market disruption after ChatGPT adoption.
S-011,Technology and Jobs: A Systematic Literature Review,Kirsten Hotte; Melline Somers; Angelos Theodorakopoulos,2023,Technological Forecasting and Social Change,Elsevier,peer_reviewed,https://www.sciencedirect.com/science/article/pii/S0040162523004355,10.1016/j.techfore.2023.122750,,PUBLISHED_VERIFIED,abstract_only,peer_reviewed,ScienceDirect landing page was bot-challenged; DOI-level metadata and abstract-level summary were retrieved through search/landing pages.,"Systematic review evidence on technology, displacement, reinstatement, and distributional effects."
S-012,Live web retrieval log for Storm Council AI jobs policy run,Storm Council run artifact,2026,Run-local retrieval evidence,Local artifact,primary,,,,RUN_LOG_VERIFIED,full_text,run_log,"Run-local audit only; credible for query strings, accessible URLs, and selected source coverage.",Records searches for evaluated AI-specific automation taxes and direct job-protection results.
